"ANO";"CEA";"NOME_CEA";"NUC_RURAL";"NUC_URBANO";"NUC_TOTAL";"DEC_URBANO";"DEC_RURAL";"DEC_TOTAL_CONJUNTO";"META_DEC";"FEC_URBANO";"FEC_RURAL";"FEC_TOTAL_CONJUNTO";"META_FEC";"ATENDE_DEC";"ATENDE_FEC"
2022;14635;PARANAGUA;1;30482;30483;5.7783;3.5833;5.7782;7;2.5981;3;2.5981;6;SIM;SIM
2025;14636;PALOTINA;2540;18862;21402;7.8285;29.4403;10.4087;8;6.7247;12.7381;7.443;6;NÃO;NÃO
2024;14636;PALOTINA;2504;18393;20897;7.5419;30.4016;10.2978;8;6.6638;13.7846;7.5226;6;NÃO;NÃO
2023;14636;PALOTINA;2533;17932;20400;8.6393;38.8443;12.3864;8;7.4131;17.1348;8.6196;6;NÃO;NÃO
2022;14636;PALOTINA;2469;17510;19979;5.877;29.386;8.7871;9;2.8558;13.2782;4.1461;7;SIM;SIM
2025;14637;PALMAS;1767;15461;17227;4.8351;46.9206;8.9754;11;3.055;15.008;4.2295;8;SIM;SIM
2024;14637;PALMAS;1589;15347;16928;5.8189;76.6708;12.4798;11;5.0569;20.401;6.4987;8;NÃO;SIM
2023;14637;PALMAS;1585;15311;16893;8.0733;65.9863;13.5005;11;7.4324;22.5971;8.8545;8;NÃO;NÃO
2022;14637;PALMAS;1577;15276;16846;10.9248;69.6053;16.3669;12;6.9831;25.395;8.6905;9;NÃO;SIM
2025;14638;PALMEIRA;5707;11989;17696;5.7825;12.0293;7.8059;14;4.6576;6.2078;5.1588;8;SIM;SIM
2024;14638;PALMEIRA;5631;11686;17313;3.6252;15.7532;7.584;15;2.2454;9.0478;4.4664;8;SIM;SIM
2023;14638;PALMEIRA;5554;11410;16964;5.578;15.7251;8.9003;15;4.5657;6.7761;5.2897;9;SIM;SIM
2022;14638;PALMEIRA;5430;11159;16589;4.3882;17.3062;8.6261;16;2.1833;7.9358;4.0722;9;SIM;SIM
2025;14640;OLIMPICO;52;50799;50848;3.1782;3.3672;3.1784;5;1.9775;2.7834;1.9784;4;SIM;SIM
2024;14640;OLIMPICO;55;49805;49856;3.7982;16.8194;3.8121;5;2.6952;7.2321;2.7;4;SIM;SIM
2023;14640;OLIMPICO;55;48763;48817;2.8972;16.2851;2.9115;6;1.7548;5.8193;1.7591;5;SIM;SIM
2022;14640;OLIMPICO;50;47670;47718;3.019;2.6771;3.0187;6;2.1373;0.6491;2.1357;5;SIM;SIM
2025;14642;LARANJEIRAS DO SUL;16000;29198;45180;8.0848;36.061;18.0346;17;5.8151;16.2901;9.5393;9;NÃO;NÃO
2024;14642;LARANJEIRAS DO SUL;15993;28665;44557;7.2797;34.5994;17.0987;17;6.6056;17.4639;10.5034;10;NÃO;NÃO
2023;14642;LARANJEIRAS DO SUL;16057;28257;44236;7.2363;40.7494;19.4131;18;6.5797;19.4171;11.2435;10;NÃO;NÃO
2022;14642;LARANJEIRAS DO SUL;16056;27836;43892;8.2895;41.7916;20.5983;18;6.7636;16.9442;10.5043;11;NÃO;SIM
2025;14644;MATINHOS;164;30058;30222;4.9265;11.6573;4.9622;6;2.4765;4.4749;2.4871;6;SIM;SIM
2024;14644;MATINHOS;162;29594;29756;5.2011;8.8727;5.2203;6;2.974;3.8945;2.9789;6;SIM;SIM
2023;14644;MATINHOS;157;29089;29242;6.2243;49.5853;6.4514;6;6.7957;17.6472;6.8523;7;NÃO;SIM
2022;14644;MATINHOS;156;28622;28778;7.4852;38.4284;7.6486;6;5.871;12.0407;5.9035;7;NÃO;SIM
2025;14645;MARECHAL CANDIDO RONDON;7552;37529;45081;6.1087;20.9733;8.603;9;4.4721;10.5216;5.4874;6;SIM;SIM
